ParentKey;LineNum;ItemCode;ItemDescription;Quantity;Price;LineTotal;Currency;WarehouseCode;AccountCode;CostingCode;TaxCode;U_HAK_DESTINO
DocNum;LineNum;ItemCode;Dscription;Quantity;Price;LineTotal;Currency;WhsCode;AcctCode;OcrCode;TaxCode;U_HAK_DESTINO
15;0;;COMPRA LIQUIDACION JULIO 2024;1;540.6;540.6;SOL;;6011100;GV-MEGA;IGV_EXE;
16;0;;COMPRA LIQUIDACION JULIO 2024;1;154.2;154.2;SOL;;6011100;GV-MEGA;IGV_EXE;
17;0;;COMPRA LIQUIDACION JULIO 2024;1;879.66;879.66;SOL;;6011100;GV-MEGA;IGV_EXE;
18;0;;COMPRA LIQUIDACION JULIO 2024;1;802.41;802.41;SOL;;6011100;GV-MEGA;IGV_EXE;
19;0;;COMPRA LIQUIDACION JULIO 2024;1;24.33;24.33;SOL;;6011100;GV-MEGA;IGV_EXE;
20;0;;COMPRA LIQUIDACION JULIO 2024;1;645;645;SOL;;6011100;GV-MEGA;IGV_EXE;
21;0;;COMPRA LIQUIDACION JULIO 2024;1;586.89;586.89;SOL;;6011100;GV-MEGA;IGV_EXE;
22;0;;COMPRA LIQUIDACION JULIO 2024;1;829.71;829.71;SOL;;6011100;GV-MEGA;IGV_EXE;
23;0;;COMPRA LIQUIDACION JULIO 2024;1;1001.07;1001.07;SOL;;6011100;GV-MEGA;IGV_EXE;
24;0;;COMPRA LIQUIDACION JULIO 2024;1;1037.13;1037.13;SOL;;6011100;GV-MEGA;IGV_EXE;
25;0;;COMPRA LIQUIDACION JULIO 2024;1;1010.67;1010.67;SOL;;6011100;GV-MEGA;IGV_EXE;
26;0;;COMPRA LIQUIDACION JULIO 2024;1;177.6;177.6;SOL;;6011100;GV-MEGA;IGV_EXE;
27;0;;COMPRA LIQUIDACION JULIO 2024;1;53.4;53.4;SOL;;6011100;GV-MEGA;IGV_EXE;
28;0;;COMPRA LIQUIDACION JULIO 2024;1;555.6;555.6;SOL;;6011100;GV-MEGA;IGV_EXE;
29;0;;COMPRA LIQUIDACION JULIO 2024;1;76.8;76.8;SOL;;6011100;GV-MEGA;IGV_EXE;
30;0;;COMPRA LIQUIDACION JULIO 2024;1;249;249;SOL;;6011100;GV-MEGA;IGV_EXE;
31;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
32;0;;COMPRA LIQUIDACION JULIO 2024;1;47.4;47.4;SOL;;6011100;GV-MEGA;IGV_EXE;
33;0;;COMPRA LIQUIDACION JULIO 2024;1;53.4;53.4;SOL;;6011100;GV-MEGA;IGV_EXE;
34;0;;COMPRA LIQUIDACION JULIO 2024;1;35.4;35.4;SOL;;6011100;GV-MEGA;IGV_EXE;
35;0;;COMPRA LIQUIDACION JULIO 2024;1;53.4;53.4;SOL;;6011100;GV-MEGA;IGV_EXE;
36;0;;COMPRA LIQUIDACION JULIO 2024;1;41.4;41.4;SOL;;6011100;GV-MEGA;IGV_EXE;
37;0;;COMPRA LIQUIDACION JULIO 2024;1;47.4;47.4;SOL;;6011100;GV-MEGA;IGV_EXE;
38;0;;COMPRA LIQUIDACION JULIO 2024;1;53.4;53.4;SOL;;6011100;GV-MEGA;IGV_EXE;
39;0;;COMPRA LIQUIDACION JULIO 2024;1;136.2;136.2;SOL;;6011100;GV-MEGA;IGV_EXE;
40;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
41;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
42;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
43;0;;COMPRA LIQUIDACION JULIO 2024;1;53.4;53.4;SOL;;6011100;GV-MEGA;IGV_EXE;
44;0;;COMPRA LIQUIDACION JULIO 2024;1;47.4;47.4;SOL;;6011100;GV-MEGA;IGV_EXE;
45;0;;COMPRA LIQUIDACION JULIO 2024;1;53.4;53.4;SOL;;6011100;GV-MEGA;IGV_EXE;
46;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
47;0;;COMPRA LIQUIDACION JULIO 2024;1;130.8;130.8;SOL;;6011100;GV-MEGA;IGV_EXE;
48;0;;COMPRA LIQUIDACION JULIO 2024;1;35.4;35.4;SOL;;6011100;GV-MEGA;IGV_EXE;
49;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
50;0;;COMPRA LIQUIDACION JULIO 2024;1;179.4;179.4;SOL;;6011100;GV-MEGA;IGV_EXE;
51;0;;COMPRA LIQUIDACION JULIO 2024;1;76.8;76.8;SOL;;6011100;GV-MEGA;IGV_EXE;
52;0;;COMPRA LIQUIDACION JULIO 2024;1;41.4;41.4;SOL;;6011100;GV-MEGA;IGV_EXE;
53;0;;COMPRA LIQUIDACION JULIO 2024;1;47.4;47.4;SOL;;6011100;GV-MEGA;IGV_EXE;
54;0;;COMPRA LIQUIDACION JULIO 2024;1;53.4;53.4;SOL;;6011100;GV-MEGA;IGV_EXE;
55;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
56;0;;COMPRA LIQUIDACION JULIO 2024;1;100.2;100.2;SOL;;6011100;GV-MEGA;IGV_EXE;
57;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
58;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
59;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
60;0;;COMPRA LIQUIDACION JULIO 2024;1;177.6;177.6;SOL;;6011100;GV-MEGA;IGV_EXE;
61;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
62;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
63;0;;COMPRA LIQUIDACION JULIO 2024;1;35.4;35.4;SOL;;6011100;GV-MEGA;IGV_EXE;
64;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
65;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
66;0;;COMPRA LIQUIDACION JULIO 2024;1;13.86;13.86;SOL;;6011100;GV-MEGA;IGV_EXE;
67;0;;COMPRA LIQUIDACION JULIO 2024;1;124.8;124.8;SOL;;6011100;GV-MEGA;IGV_EXE;
68;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
69;0;;COMPRA LIQUIDACION JULIO 2024;1;118.8;118.8;SOL;;6011100;GV-MEGA;IGV_EXE;
70;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
71;0;;COMPRA LIQUIDACION JULIO 2024;1;35.4;35.4;SOL;;6011100;GV-MEGA;IGV_EXE;
72;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
73;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
74;0;;COMPRA LIQUIDACION JULIO 2024;1;35.4;35.4;SOL;;6011100;GV-MEGA;IGV_EXE;
75;0;;COMPRA LIQUIDACION JULIO 2024;1;106.2;106.2;SOL;;6011100;GV-MEGA;IGV_EXE;
76;0;;COMPRA LIQUIDACION JULIO 2024;1;47.4;47.4;SOL;;6011100;GV-MEGA;IGV_EXE;
77;0;;COMPRA LIQUIDACION JULIO 2024;1;159.6;159.6;SOL;;6011100;GV-MEGA;IGV_EXE;
78;0;;COMPRA LIQUIDACION JULIO 2024;1;47.4;47.4;SOL;;6011100;GV-MEGA;IGV_EXE;
79;0;;COMPRA LIQUIDACION JULIO 2024;1;106.8;106.8;SOL;;6011100;GV-MEGA;IGV_EXE;
80;0;;COMPRA LIQUIDACION JULIO 2024;1;41.4;41.4;SOL;;6011100;GV-MEGA;IGV_EXE;
81;0;;COMPRA LIQUIDACION JULIO 2024;1;53.4;53.4;SOL;;6011100;GV-MEGA;IGV_EXE;
82;0;;COMPRA LIQUIDACION JULIO 2024;1;82.8;82.8;SOL;;6011100;GV-MEGA;IGV_EXE;
83;0;;COMPRA LIQUIDACION JULIO 2024;1;35.4;35.4;SOL;;6011100;GV-MEGA;IGV_EXE;
84;0;;COMPRA LIQUIDACION JULIO 2024;1;77.4;77.4;SOL;;6011100;GV-MEGA;IGV_EXE;
85;0;;COMPRA LIQUIDACION JULIO 2024;1;53.4;53.4;SOL;;6011100;GV-MEGA;IGV_EXE;
86;0;;COMPRA LIQUIDACION JULIO 2024;1;70.2;70.2;SOL;;6011100;GV-MEGA;IGV_EXE;
87;0;;COMPRA LIQUIDACION JULIO 2024;1;41.4;41.4;SOL;;6011100;GV-MEGA;IGV_EXE;
88;0;;COMPRA LIQUIDACION JULIO 2024;1;35.4;35.4;SOL;;6011100;GV-MEGA;IGV_EXE;
89;0;;COMPRA LIQUIDACION JULIO 2024;1;47.4;47.4;SOL;;6011100;GV-MEGA;IGV_EXE;
90;0;;COMPRA LIQUIDACION JULIO 2024;1;70.74;70.74;SOL;;6011100;GV-MEGA;IGV_EXE;
91;0;;COMPRA LIQUIDACION JULIO 2024;1;11.94;11.94;SOL;;6011100;GV-MEGA;IGV_EXE;
92;0;;COMPRA LIQUIDACION JULIO 2024;1;29.4;29.4;SOL;;6011100;GV-MEGA;IGV_EXE;
